Program,Threads,Iterations,Execution Time (seconds)
FlatBarrier,16,1000,0.03
FlatBarrier,16,2000,0.06
FlatBarrier,16,3000,0.09
FlatBarrier,16,4000,0.1
FlatBarrier,16,5000,0.12
FlatBarrier,16,6000,0.13
FlatBarrier,16,7000,0.17
FlatBarrier,16,8000,0.21
FlatBarrier,16,9000,0.2
FlatBarrier,16,10000,0.2
FlatBarrier,16,20000,0.44
FlatBarrier,16,30000,0.66
FlatBarrier,16,40000,0.8
FlatBarrier,16,50000,0.95
FlatBarrier,16,60000,1.06
FlatBarrier,16,70000,1.14
FlatBarrier,16,80000,1.19
FlatBarrier,16,90000,1.32
FlatBarrier,16,100000,1.41
FlatBarrier,16,200000,2.13
FlatBarrier,16,300000,2.95
FlatBarrier,16,400000,3.61
FlatBarrier,16,500000,4.28
FlatBarrier,16,600000,5.05
FlatBarrier,16,700000,5.79
FlatBarrier,16,800000,6.49
FlatBarrier,16,900000,7.15
FlatBarrier,16,1000000,7.96
FlatBarrier,16,2000000,15.21
FlatBarrier,16,3000000,22.02
FlatBarrier,16,4000000,30.04
FlatBarrier,16,5000000,37.13
FlatBarrier,16,6000000,43.93
FlatBarrier,16,7000000,51.18
FlatBarrier,16,8000000,57.99
FlatBarrier,16,9000000,68.17
FlatBarrier,16,10000000,73.45
FlatBarrier,32,1000,0.07
FlatBarrier,32,2000,0.09
FlatBarrier,32,3000,0.15
FlatBarrier,32,4000,0.18
FlatBarrier,32,5000,0.24
FlatBarrier,32,6000,0.27
FlatBarrier,32,7000,0.29
FlatBarrier,32,8000,0.34
FlatBarrier,32,9000,0.36
FlatBarrier,32,10000,0.41
FlatBarrier,32,20000,0.74
FlatBarrier,32,30000,1.06
FlatBarrier,32,40000,1.3
FlatBarrier,32,50000,1.49
FlatBarrier,32,60000,1.72
FlatBarrier,32,70000,2.03
FlatBarrier,32,80000,2.21
FlatBarrier,32,90000,2.48
FlatBarrier,32,100000,2.69
FlatBarrier,32,200000,5.11
FlatBarrier,32,300000,7.44
FlatBarrier,32,400000,9.81
FlatBarrier,32,500000,12.14
FlatBarrier,32,600000,14.65
FlatBarrier,32,700000,16.98
FlatBarrier,32,800000,19.17
FlatBarrier,32,900000,21.72
FlatBarrier,32,1000000,23.8
FlatBarrier,32,2000000,47.12
FlatBarrier,32,3000000,70.92
FlatBarrier,32,4000000,94.2
FlatBarrier,32,5000000,117.97
FlatBarrier,32,6000000,141.11
FlatBarrier,32,7000000,166.01
FlatBarrier,32,8000000,189.38
FlatBarrier,32,9000000,211.96
FlatBarrier,32,10000000,235.19
FlatBarrier,64,1000,0.1
FlatBarrier,64,2000,0.17
FlatBarrier,64,3000,0.61
FlatBarrier,64,4000,0.4
FlatBarrier,64,5000,0.37
FlatBarrier,64,6000,0.67
FlatBarrier,64,7000,0.51
FlatBarrier,64,8000,0.61
FlatBarrier,64,9000,0.85
FlatBarrier,64,10000,0.76
FlatBarrier,64,20000,2.13
FlatBarrier,64,30000,2.58
FlatBarrier,64,40000,3.77
FlatBarrier,64,50000,4.63
FlatBarrier,64,60000,5.25
FlatBarrier,64,70000,5.93
FlatBarrier,64,80000,7.69
FlatBarrier,64,90000,8.42
FlatBarrier,64,100000,9.25
FlatBarrier,64,200000,17.65
FlatBarrier,64,300000,27.7
FlatBarrier,64,400000,40.27
FlatBarrier,64,500000,45.77
FlatBarrier,64,600000,62.81
FlatBarrier,64,700000,66.88
FlatBarrier,64,800000,72.53
FlatBarrier,64,900000,92.58
FlatBarrier,64,1000000,104.19
FlatBarrier,64,2000000,219.68
FlatBarrier,64,3000000,270.1
FlatBarrier,64,4000000,422.87
FlatBarrier,64,5000000,468.46
FlatBarrier,64,6000000,577.56
FlatBarrier,64,7000000,648.21
FlatBarrier,64,8000000,808.15
FlatBarrier,64,9000000,882.9
FlatBarrier,64,10000000,914.53
TreeBarrier,16,1000,0.01
TreeBarrier,16,2000,0.02
TreeBarrier,16,3000,0.03
TreeBarrier,16,4000,0.03
TreeBarrier,16,5000,0.05
TreeBarrier,16,6000,0.06
TreeBarrier,16,7000,0.07
TreeBarrier,16,8000,0.08
TreeBarrier,16,9000,0.09
TreeBarrier,16,10000,0.1
TreeBarrier,16,20000,0.19
TreeBarrier,16,30000,0.29
TreeBarrier,16,40000,0.38
TreeBarrier,16,50000,0.52
TreeBarrier,16,60000,0.59
TreeBarrier,16,70000,0.72
TreeBarrier,16,80000,0.81
TreeBarrier,16,90000,0.93
TreeBarrier,16,100000,0.98
TreeBarrier,16,200000,1.77
